datetime,rmssd,coverage,hf,lf,lf_hf_ratio
2025-12-25 00:00:00,27.952,0.984,117.702,369.893,
2025-12-25 00:05:00,17.76,1.005,60.604,1382.191,
2025-12-25 00:10:00,21.309,0.973,40.479,569.223,
2025-12-25 00:15:00,24.247,1.005,79.169,431.109,
2025-12-25 00:20:00,25.217,0.987,95.0,336.244,
2025-12-25 00:25:00,22.103,1.006,85.961,166.543,
2025-12-25 00:30:00,21.733,0.979,71.73,451.296,
2025-12-25 00:35:00,19.437,1.004,52.173,201.021,
2025-12-25 00:40:00,20.202,1.002,54.586,206.028,
2025-12-25 00:45:00,20.563,1.005,68.036,128.099,
2025-12-25 00:50:00,20.148,0.995,51.417,84.526,
2025-12-25 00:55:00,17.773,1.005,39.438,110.459,
2025-12-25 01:00:00,20.731,0.915,72.814,194.571,
2025-12-25 01:05:00,26.677,0.953,80.423,747.717,
2025-12-25 01:10:00,33.385,1.003,160.044,1030.272,
2025-12-25 01:15:00,33.147,0.945,187.647,621.096,
2025-12-25 01:20:00,32.296,1.006,162.221,159.816,
2025-12-25 01:25:00,31.37,0.925,116.47,380.101,
2025-12-25 01:30:00,37.156,0.913,202.08,1915.412,
2025-12-25 01:35:00,36.158,1.006,212.187,500.361,
2025-12-25 01:40:00,38.7,0.956,174.99,326.95,
2025-12-25 01:45:00,42.888,1.006,221.634,280.677,
2025-12-25 01:50:00,41.034,0.898,203.421,512.396,
2025-12-25 02:00:00,34.169,0.906,120.135,586.464,
2025-12-25 02:05:00,27.919,0.819,92.966,610.377,
2025-12-25 02:10:00,39.738,0.933,190.86,603.478,
2025-12-25 02:15:00,43.524,0.962,205.856,879.695,
2025-12-25 02:20:00,41.56,0.957,173.153,831.28,
2025-12-25 02:25:00,42.742,1.003,184.625,543.201,
2025-12-25 02:30:00,46.786,0.995,304.47,704.147,
2025-12-25 02:35:00,48.979,0.952,328.901,636.973,
2025-12-25 02:40:00,49.393,0.983,358.598,1059.899,
2025-12-25 02:45:00,46.922,1.004,262.511,370.744,
2025-12-25 02:50:00,57.633,0.931,321.586,2300.646,
2025-12-25 02:55:00,40.757,0.932,236.549,312.798,
2025-12-25 03:00:00,40.538,1.004,197.725,321.825,
2025-12-25 03:05:00,42.676,1.003,286.686,261.416,
2025-12-25 03:10:00,57.915,0.984,588.084,151.652,
2025-12-25 03:15:00,50.918,1.003,401.178,255.566,
2025-12-25 03:20:00,40.555,0.946,192.155,842.171,
2025-12-25 03:25:00,39.276,1.002,199.944,448.897,
2025-12-25 03:30:00,33.888,0.967,112.25,422.651,
2025-12-25 03:35:00,42.591,0.955,209.528,1205.529,
2025-12-25 03:40:00,31.182,0.984,111.919,520.546,
2025-12-25 03:45:00,32.922,0.999,146.27,375.476,
2025-12-25 03:50:00,45.435,0.912,204.909,2433.023,
2025-12-25 03:55:00,55.539,0.96,419.086,1749.703,
2025-12-25 04:00:00,33.867,0.965,163.678,1222.69,
2025-12-25 04:05:00,44.003,1.006,229.908,955.499,
2025-12-25 04:10:00,39.588,0.999,112.106,496.431,
2025-12-25 04:15:00,39.554,0.93,178.749,1837.314,
2025-12-25 04:20:00,59.494,1.004,403.244,1103.364,
2025-12-25 04:25:00,57.406,0.942,325.896,1553.739,
2025-12-25 04:30:00,56.964,0.957,286.199,1610.677,
2025-12-25 04:35:00,54.264,0.934,199.258,1198.299,
2025-12-25 04:40:00,33.958,0.994,134.683,468.298,
2025-12-25 04:45:00,76.245,0.912,1059.036,1832.086,
2025-12-25 05:05:00,49.359,1.003,288.842,569.307,
2025-12-25 05:10:00,59.315,0.983,603.526,533.387,
2025-12-25 05:15:00,61.487,0.979,456.235,972.088,
2025-12-25 05:20:00,53.747,0.999,394.507,1069.643,
2025-12-25 05:25:00,51.534,1.0,373.813,443.028,
2025-12-25 05:30:00,54.076,0.982,449.514,1246.949,
2025-12-25 05:35:00,49.654,1.008,376.434,132.565,
2025-12-25 05:40:00,55.222,1.005,445.2,331.039,
2025-12-25 05:45:00,49.175,1.004,357.832,441.073,
2025-12-25 05:50:00,50.343,1.0,385.709,244.982,
2025-12-25 05:55:00,58.939,0.94,370.253,2772.106,
2025-12-25 06:00:00,52.194,1.004,336.138,2085.204,
2025-12-25 06:05:00,53.62,0.946,446.868,2444.508,
2025-12-25 06:10:00,44.652,0.984,193.06,753.158,
2025-12-26 00:20:00,66.253,0.777,576.833,1501.656,
2025-12-26 00:30:00,91.761,0.915,950.397,653.405,
2025-12-26 00:35:00,57.106,0.998,393.121,359.148,
2025-12-26 00:40:00,52.255,0.985,300.348,304.67,
2025-12-26 00:45:00,52.006,1.005,377.107,243.782,
2025-12-26 00:50:00,50.629,0.999,425.029,146.606,
2025-12-26 00:55:00,45.08,1.007,259.755,418.846,
2025-12-26 01:00:00,46.698,0.913,201.879,1449.264,
2025-12-26 01:05:00,45.249,1.005,248.836,252.772,
2025-12-26 01:10:00,45.573,1.005,280.446,303.829,
2025-12-26 01:15:00,43.41,1.0,256.387,207.575,
2025-12-26 01:20:00,34.883,1.006,150.78,118.157,
2025-12-26 01:25:00,41.767,1.005,200.428,230.444,
2025-12-26 01:30:00,41.181,1.003,224.392,171.704,
2025-12-26 01:35:00,41.88,1.006,197.524,257.813,
2025-12-26 01:40:00,43.897,1.004,278.473,227.335,
2025-12-26 01:45:00,44.758,0.959,231.527,1130.868,
2025-12-26 01:50:00,52.065,0.925,355.303,382.337,
2025-12-26 01:55:00,50.605,1.004,372.533,618.271,
2025-12-26 02:00:00,42.638,1.005,195.15,1064.734,
2025-12-26 02:05:00,39.847,0.977,198.943,1577.657,
2025-12-26 02:10:00,38.303,1.006,176.212,431.907,
2025-12-26 02:15:00,44.699,1.004,237.343,407.737,
2025-12-26 02:20:00,50.049,0.973,294.793,643.638,
2025-12-26 02:25:00,48.465,1.007,377.335,342.338,
2025-12-26 02:30:00,51.33,1.001,428.554,286.229,
2025-12-26 02:35:00,45.861,1.004,248.874,363.542,
2025-12-26 02:40:00,43.544,0.938,185.918,663.511,
2025-12-26 02:45:00,44.055,0.965,264.354,573.5,
2025-12-26 03:10:00,48.527,1.003,268.553,868.57,
2025-12-26 03:15:00,51.817,0.989,288.852,644.365,
