date,caloriesOut,activityCalories,steps,distance,sedentaryMinutes,lightlyActiveMinutes,fairlyActiveMinutes,veryActiveMinutes
2025-11-27,2108.0,758.0,5679.0,2.14376789467152,772.0,119.0,16.0,27.0
2025-11-28,2040.0,725.0,6264.0,2.17963343987376,883.0,134.0,7.0,18.0
2025-11-29,1900.0,492.0,6468.0,2.8031918584696,861.0,79.0,7.0,19.0
2025-11-30,2158.0,832.0,9275.0,3.95572357281504,890.0,196.0,7.0,4.0
2025-12-01,2255.0,926.0,6540.0,2.3632921230932,842.0,115.0,35.0,41.0
2025-12-02,2035.0,684.0,6232.0,2.3747564215856,798.0,139.0,10.0,12.0
2025-12-03,2070.0,721.0,6799.0,2.6018986608212,837.0,131.0,4.0,20.0
2025-12-04,2063.0,697.0,5392.0,1.95257197889312,776.0,112.0,34.0,14.0
2025-12-05,2177.0,840.0,6747.0,2.60893879642656,788.0,171.0,5.0,18.0
2025-12-06,2026.0,633.0,4935.0,2.1647950958088,892.0,142.0,6.0,11.0
2025-12-07,2211.0,898.0,6654.0,2.838268262258,793.0,174.0,31.0,15.0
2025-12-08,2082.0,740.0,7101.0,2.7061336782792,868.0,132.0,18.0,15.0
2025-12-09,2062.0,709.0,6297.0,2.38292123904848,813.0,116.0,11.0,33.0
2025-12-10,2048.0,761.0,6376.0,2.24250999079224,770.0,137.0,20.0,20.0
2025-12-11,2029.0,676.0,5842.0,2.16280049428248,816.0,148.0,9.0,11.0
2025-12-12,2195.0,875.0,7400.0,2.83697581017864,808.0,180.0,9.0,15.0
2025-12-13,2262.0,930.0,5214.0,2.25093578415576,795.0,149.0,48.0,16.0
2025-12-14,2212.0,869.0,7027.0,2.96902961590248,789.0,185.0,20.0,13.0
2025-12-15,2212.0,886.0,5549.0,2.22070607566496,658.0,148.0,45.0,18.0
2025-12-16,2023.0,683.0,6862.0,2.91282037787416,824.0,153.0,14.0,4.0
2025-12-17,2297.0,1005.0,7213.0,3.009519,814.0,179.0,40.0,17.0
2025-12-18,2184.0,857.0,7371.0,3.054258,869.0,146.0,30.0,21.0
2025-12-19,2158.0,840.0,6816.0,2.847235,818.0,159.0,42.0,9.0
2025-12-20,832.0,289.0,2298.0,1.012276,142.0,52.0,7.0,4.0
2025-12-21,2106.0,778.0,6442.0,2.704705,841.0,137.0,35.0,14.0
2025-12-22,2691.0,1502.0,12340.0,5.13889,719.0,267.0,52.0,25.0
2025-12-23,2139.0,814.0,9141.0,3.949995,844.0,141.0,23.0,14.0
2025-12-24,650.0,166.0,2005.0,0.851527,59.0,23.0,3.0,9.0
2025-12-25,2048.0,695.0,5256.0,2.182262,878.0,143.0,9.0,13.0
2025-12-26,2334.0,992.0,9415.0,4.016046,932.0,167.0,24.0,33.0
2025-12-27,2131.0,773.0,8568.0,3.805215,919.0,161.0,6.0,27.0
2025-12-28,2258.0,877.0,8893.0,3.848897,890.0,153.0,25.0,24.0
2025-12-29,1844.0,399.0,4196.0,1.793836,845.0,78.0,5.0,13.0
2025-12-30,1840.0,429.0,5932.0,2.564896,976.0,43.0,10.0,26.0
2025-12-31,1815.0,415.0,5546.0,2.395448,907.0,49.0,12.0,25.0
2026-01-01,1345.0,83.0,400.0,0.175599,581.0,27.0,0.0,0.0
2026-01-02,1910.0,517.0,5109.0,2.183063,914.0,113.0,4.0,6.0
2026-01-03,1976.0,587.0,5196.0,2.239546,891.0,150.0,12.0,3.0
2026-01-04,2167.0,869.0,6442.0,2.78424,858.0,196.0,23.0,0.0
2026-01-05,2197.0,865.0,6139.0,2.581171,832.0,179.0,21.0,12.0
2026-01-06,2113.0,751.0,6601.0,2.820673,979.0,139.0,13.0,22.0
2026-01-07,2112.0,784.0,6222.0,2.603418,830.0,158.0,20.0,11.0
2026-01-08,2104.0,756.0,5376.0,2.175632,832.0,140.0,16.0,18.0
2026-01-09,726.0,250.0,1537.0,0.621383,116.0,28.0,18.0,8.0
2026-01-11,1927.0,560.0,3614.0,1.550998,923.0,132.0,9.0,8.0
2026-01-12,1539.0,62.0,280.0,0.122783,1016.0,21.0,0.0,0.0
2026-01-13,2340.0,1021.0,7677.0,2.924224,813.0,136.0,41.0,36.0
2026-01-14,2051.0,715.0,6597.0,2.817135,883.0,147.0,17.0,16.0
2026-01-15,2119.0,797.0,5712.0,2.342367,829.0,153.0,25.0,14.0
2026-01-16,2191.0,883.0,6210.0,2.609241,868.0,156.0,39.0,17.0
2026-01-17,2258.0,983.0,6558.0,2.795363,831.0,234.0,24.0,3.0
2026-01-18,4424.0,3458.0,45213.0,25.534069,485.0,155.0,82.0,308.0
2026-01-19,2063.0,734.0,7171.0,3.208885,942.0,150.0,10.0,20.0
2026-01-20,737.0,282.0,2399.0,1.02141,61.0,39.0,10.0,12.0
2026-01-21,2115.0,780.0,6240.0,2.648098,917.0,145.0,24.0,4.0
2026-01-22,2250.0,953.0,7360.0,3.095786,812.0,171.0,31.0,21.0
2026-01-23,2037.0,691.0,6343.0,2.820757,888.0,116.0,16.0,22.0
2026-01-24,658.0,170.0,1583.0,0.669962,192.0,23.0,15.0,3.0
2026-01-26,2022.0,679.0,5637.0,2.381281,934.0,165.0,8.0,3.0
2026-01-27,703.0,238.0,1351.0,0.5715,28.0,24.0,11.0,12.0
2026-01-28,2281.0,976.0,8409.0,3.523485,868.0,144.0,55.0,18.0
2026-01-29,2379.0,1077.0,8962.0,3.818512,814.0,145.0,45.0,40.0
2026-01-30,2172.0,881.0,6994.0,2.925478,811.0,209.0,19.0,3.0
2026-01-31,2254.0,963.0,7270.0,3.121334,831.0,213.0,38.0,5.0
2026-02-01,2284.0,1002.0,10186.0,4.377249,842.0,193.0,28.0,9.0
2026-02-02,702.0,238.0,1901.0,0.806416,22.0,31.0,7.0,13.0
2026-02-03,2087.0,778.0,6873.0,2.878626,875.0,199.0,9.0,0.0
2026-02-04,2201.0,921.0,9827.0,4.192329,906.0,189.0,22.0,5.0
2026-02-05,2215.0,917.0,8440.0,3.525598,764.0,208.0,12.0,5.0
2026-02-06,1576.0,623.0,5194.0,2.172811,546.0,114.0,14.0,15.0
2026-02-09,2107.0,729.0,9061.0,3.787506,669.0,129.0,15.0,27.0
2026-02-10,2265.0,970.0,8305.0,3.417231,844.0,193.0,25.0,7.0
2026-02-11,2243.0,946.0,8892.0,3.822054,838.0,193.0,12.0,19.0
2026-02-12,2224.0,946.0,8932.0,3.761036,820.0,196.0,23.0,16.0
2026-02-13,2170.0,846.0,6465.0,2.683516,812.0,139.0,46.0,17.0
2026-02-14,613.0,162.0,1091.0,0.480506,58.0,34.0,7.0,0.0
2026-02-15,2135.0,820.0,7006.0,3.062304,797.0,191.0,13.0,2.0
2026-02-16,707.0,223.0,1357.0,0.536624,34.0,22.0,10.0,13.0
2026-02-18,2152.0,833.0,10625.0,4.551979,818.0,128.0,25.0,31.0
2026-02-19,2424.0,1135.0,8017.0,3.299433,829.0,184.0,50.0,21.0
2026-02-20,2785.0,1580.0,13787.0,6.023572,742.0,209.0,90.0,45.0
2026-02-21,1360.0,457.0,3830.0,1.672856,524.0,109.0,5.0,3.0
2026-02-22,2461.0,1198.0,7217.0,2.980345,761.0,170.0,84.0,17.0
2026-02-23,2447.0,1111.0,7747.0,3.293205,904.0,153.0,57.0,34.0
2026-02-24,2265.0,909.0,8918.0,3.820501,831.0,178.0,20.0,21.0
2026-02-25,2233.0,902.0,8749.0,3.652979,768.0,166.0,21.0,19.0
2026-02-26,593.0,117.0,855.0,0.376427,28.0,26.0,0.0,0.0
2026-02-27,3446.0,2337.0,29151.0,16.289308,597.0,164.0,75.0,177.0
2026-02-28,1990.0,577.0,3512.0,1.543921,896.0,147.0,15.0,4.0
2026-03-01,2439.0,1088.0,8082.0,3.51634,819.0,180.0,36.0,17.0
2026-03-02,2031.0,617.0,3913.0,1.677516,845.0,112.0,33.0,5.0
2026-03-03,2035.0,630.0,5846.0,2.405328,826.0,70.0,36.0,32.0
2026-03-04,1310.0,280.0,2959.0,1.233173,603.0,62.0,0.0,0.0
2026-03-05,2898.0,1703.0,13665.0,5.878358,666.0,178.0,98.0,74.0
2026-03-06,678.0,195.0,1726.0,0.729117,77.0,41.0,0.0,0.0
2026-03-07,2010.0,644.0,5366.0,2.290001,865.0,154.0,6.0,2.0
2026-03-08,2922.0,1758.0,16348.0,7.127563,693.0,169.0,111.0,84.0
2026-03-09,2013.0,678.0,5350.0,2.284968,870.0,164.0,16.0,5.0
2026-03-10,2214.0,910.0,6687.0,2.796046,900.0,169.0,38.0,6.0
2026-03-11,2053.0,695.0,7195.0,3.01918,959.0,135.0,9.0,14.0
2026-03-12,1987.0,619.0,5494.0,2.332255,926.0,161.0,6.0,4.0
2026-03-13,2104.0,778.0,6560.0,2.77144,840.0,178.0,11.0,1.0
2026-03-14,1992.0,629.0,6014.0,2.597269,887.0,176.0,0.0,0.0
2026-03-15,2280.0,972.0,12080.0,5.19485,871.0,155.0,23.0,42.0
2026-03-16,1955.0,581.0,5032.0,2.100172,883.0,141.0,7.0,1.0
2026-03-17,565.0,136.0,1266.0,0.533323,24.0,26.0,0.0,0.0
2026-03-18,2026.0,657.0,6096.0,2.602613,895.0,139.0,17.0,3.0
2026-03-19,2010.0,656.0,6117.0,2.570737,891.0,164.0,11.0,4.0
2026-03-20,2271.0,963.0,11565.0,4.876086,823.0,195.0,33.0,11.0
2026-03-21,2472.0,1227.0,15173.0,6.4512,683.0,220.0,29.0,20.0
2026-03-22,3734.0,2646.0,35875.0,19.316193,828.0,224.0,40.0,208.0
2026-03-23,1954.0,591.0,4978.0,2.104957,890.0,133.0,17.0,5.0
2026-03-24,1975.0,600.0,5591.0,2.360154,938.0,125.0,9.0,7.0
2026-03-25,2414.0,1077.0,11519.0,4.919893,838.0,160.0,29.0,46.0
2026-03-26,2297.0,915.0,9679.0,4.128701,965.0,187.0,10.0,19.0
